City_ID,City,Lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
475,champerico,14.3,-91.9167,307.45,70,6,4.29,GT,1687125239
476,holualoa,19.6228,-155.9522,299.74,76,40,5.66,US,1687125239
477,pervomays'kyy,49.3874,36.2147,287.09,86,9,3.52,UA,1687125239
478,zyryanskoye,56.8306,86.6258,279.33,68,87,1.81,RU,1687125239
479,sisimiut,66.9395,-53.6735,278.01,54,100,2.55,GL,1687125240
480,al fuwayliq,26.4432,43.2534,303.55,17,43,4.48,SA,1687125240
481,nogliki,51.8333,143.1667,281.46,85,100,3.61,RU,1687125240
482,nouadhibou,20.931,-17.0347,295.14,78,6,7.72,MR,1687125241
483,hithadhoo,-0.6,73.0833,301.39,73,82,5.64,MV,1687125241
484,cidade velha,14.9167,-23.6167,299.41,73,75,5.14,CV,1687125241
485,brainerd,46.358,-94.2008,299.29,68,100,2.06,US,1687125241
486,yashikira,9.7667,3.4,297.02,91,99,2.06,NG,1687125242
487,katsuura,35.1333,140.3,294.76,90,24,4.86,JP,1687125242
488,tessaoua,13.7574,7.9874,310.17,22,97,2.06,NE,1687125242
489,mangrol,21.1167,70.1167,303.06,71,100,6.22,IN,1687125242
490,aklera,24.4167,76.5667,302.6,61,100,8.41,IN,1687125049
491,westport,41.1415,-73.3579,300.36,56,75,3.09,US,1687125243
492,paoua,7.2427,16.4406,294.75,95,99,1.27,CF,1687125243
493,colchani,-20.3,-66.9333,277.07,22,0,3.18,BO,1687125243
494,hammerfest,70.6634,23.6821,285.4,71,0,3.6,NO,1687125244
495,martinez,38.0194,-122.1341,302.31,50,0,8.23,US,1687125244
496,callao,-12.0667,-77.15,295.31,68,75,8.23,PE,1687125244
497,atherton,53.5237,-2.4935,289.98,95,100,1.1,GB,1687125244
498,naze,28.3667,129.4833,296.66,94,100,7.09,JP,1687125245
499,dapa,9.7594,126.0531,300.4,78,55,0.98,PH,1687125245
500,antsiranana,-12.2787,49.2917,296.87,73,2,6.22,MG,1687125245
501,waiuku,-37.25,174.75,287.18,97,31,1.91,NZ,1687125245
502,hilongos,10.3744,124.7497,297.62,82,15,1.4,PH,1687125245
503,vikulovo,56.8167,70.6107,283.11,61,100,6.32,RU,1687125246
504,magadan,59.5667,150.8,282.89,87,100,1.31,RU,1687125246
505,sao felix do xingu,-6.6447,-51.995,298.95,68,89,1.23,BR,1687125247
506,campo belo,-20.8972,-45.2772,287.41,63,0,1.71,BR,1687125247
507,dolinsk,47.35,142.8,282.74,90,100,2.21,RU,1687125247
508,tynda,55.1667,124.7167,285.72,81,100,1.18,RU,1687125248
509,aitape,-3.1374,142.3475,298.85,86,100,0.94,PG,1687125248
510,camocim,-2.9022,-40.8411,299.98,82,77,5.31,BR,1687125248
511,oban,56.4127,-5.4706,291.14,90,100,1.91,GB,1687125248
512,wamba,8.9333,8.6,297.13,90,89,0.63,NG,1687125249
513,mbandaka,0.0487,18.2603,295.63,95,93,1.21,CD,1687125249
514,ust-tsilma,65.441,52.1498,276.31,80,100,2.56,RU,1687125249
515,mandal,25.45,74.5667,298.39,84,98,9.08,IN,1687125249
516,mae chan,20.1467,99.8526,298.96,98,100,0.74,TH,1687125250
517,san patricio,28.017,-97.5169,308.2,51,1,8.61,US,1687125250
518,yuzhno-kurilsk,44.0306,145.8556,282.85,90,99,8.08,RU,1687125251
519,lauro de freitas,-12.8944,-38.3272,299.16,78,40,3.09,BR,1687125251
520,seven pagodas,12.6264,80.1722,299.18,74,97,7.76,IN,1687125251
521,dembi dolo,8.5333,34.8,287.66,91,73,1.94,ET,1687125251
522,fruita,39.1589,-108.729,306.25,21,40,2.57,US,1687125251
523,nizhnesortymskiy,62.4397,71.7603,277.55,76,27,2.39,RU,1687125252
524,gaborone,-24.6545,25.9086,282.1,57,0,1.54,BW,1687125252
525,northam,51.0333,-4.2167,288.85,96,58,3.3,GB,1687125252
526,arkhara,49.4212,130.0842,290.78,77,10,2.12,RU,1687125252
527,saldanha,-33.0117,17.9442,287.18,80,100,10.43,ZA,1687125253
528,murten/morat,46.9283,7.1172,294.12,64,75,0.51,CH,1687125253
529,ixtapa,20.7,-105.2,308.52,34,10,3.64,MX,1687125188
530,nettetal,51.3167,6.2833,298.33,57,100,2.06,DE,1687125253
531,richards bay,-28.783,32.0377,289.34,87,0,2.52,ZA,1687125254
532,inhambane,-23.865,35.3833,293.03,81,0,3.36,MZ,1687125254
533,mukalla,14.5425,49.1242,305.8,58,79,1.8,YE,1687125254
534,as sulayyil,20.4607,45.5779,304.29,10,69,3.28,SA,1687125254
535,waynesboro,38.0685,-78.8895,302.79,38,0,2.57,US,1687125255
536,rabo de peixe,37.8,-25.5833,291.88,94,75,6.17,PT,1687125255
537,zabaykal'sk,49.6333,117.3167,289.03,73,100,5.45,RU,1687125255
538,dolbeau-mistassini,48.8763,-72.212,289.41,64,100,0.54,CA,1687125255
539,selkirk,50.1436,-96.8845,302.13,39,7,0.89,CA,1687125256
540,lisala,2.15,21.5167,295.59,96,100,0.24,CD,1687125256
541,manokwari,-0.8667,134.0833,298.54,83,100,1.05,ID,1687125256
542,antalaha,-14.9003,50.2788,295.38,86,85,4.87,MG,1687125256
543,ghadamis,30.1337,9.5007,302.95,13,0,5.27,LY,1687125257
544,griffith,41.5284,-87.4237,303.74,38,0,4.63,US,1687125257
545,pathein,16.7833,94.7333,298.87,91,100,1.77,MM,1687125257
546,mathba,22.2855,89.9629,301.48,87,100,4.62,BD,1687125257
547,teknaf,20.8624,92.3058,300.11,89,90,3.02,BD,1687125258
548,puerto baquerizo moreno,-0.9,-89.6,300.7,74,40,5.14,EC,1687125258
549,hun,29.1268,15.9477,298.31,30,0,5.72,LY,1687125258
550,nsanje,-16.92,35.262,291.86,75,0,1.01,MW,1687125258
551,shatrovo,56.5167,64.6333,281.2,84,100,7.26,RU,1687125259
552,igarka,67.4667,86.5833,276.68,90,100,5.12,RU,1687125259
